"TOP 15","Song Name","Streams","Artist","Artist Followers","Genre","Release Date","Popularity","Danceability","Energy","Loudness","Speechiness","Acousticness","Liveness","Tempo","Duration (ms)","Valence","Chord"
0,"Pretty Boy (feat. Lil Yachty)","5,141,212","Joji",4759367,"['alternative r&b', 'viral pop']","2020-09-25",66,0.656,0.776,-6.184,0.0672,0.16,0.372,156.049,156759,0.638,"F#/Gb"
0,"Afterthought","4,977,405","Joji, BENEE",4759367,"['alternative r&b', 'viral pop']","2020-09-25",67,0.668,0.547,-8.024,0.0353,0.398,0.0931,83.5,194871,0.192,"C#/Db"
0,"Over Now (with The Weeknd)","4,867,620","Calvin Harris",21946934,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']","2020-08-28",72,0.612,0.884,-4.113,0.0454,0.0759,0.247,178.043,210795,0.679,"E"
1,"Hate The Other Side (with Marshmello & The Kid Laroi)","4,851,997","Juice WRLD, Polo G",19102888,"['chicago rap', 'melodic rap']","2020-07-10",78,0.701,0.65,-6.313,0.104,0.291,0.112,90.003,160212,0.647,"F#/Gb"
0,"drunk face","4,834,258","Machine Gun Kelly",3868320,"['ohio hip hop', 'pop rap']","2020-09-25",72,0.691,0.77,-4.578,0.0367,0.0282,0.497,90.024,143901,0.344,"G"
0,"Tak Tiki Tak","4,761,286","Harry Nach",134339,"['trap chileno', 'trap latino']","2020-07-10",71,0.801,0.579,-4.78,0.0813,0.333,0.172,99.994,212406,0.231,"B"
0,"WHATS POPPIN","4,745,752","Jack Harlow",3828418,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']","2020-06-24",80,0.904,0.723,-5.224,0.26,0.0631,0.185,145.013,227478,0.835,"B"
0,"Money Trees","4,632,724","Kendrick Lamar, Jay Rock",17931101,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']","2012",75,0.716,0.531,-7.355,0.122,0.0703,0.224,71.994,386907,0.344,"G"
0,"Blastoff (feat. Juice Wrld & Trippie Redd)","4,628,159","Internet Money, Diplo",412466,"['pop rap', 'rap', 'trap']","2020-08-29",70,0.761,0.517,-6.916,0.0927,0.114,0.157,147.912,174730,0.46,"F"
0,"September","5,329,256","Earth, Wind & Fire",3008916,"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']","1978-11-23",80,0.697,0.832,-7.264,0.0298,0.168,0.269,125.926,215093,0.979,"A"
0,"Secrets","5,178,107","Regard, RAYE",152237,"['dance pop', 'edm', 'pop dance', 'pop edm', 'slap house', 'tropical house']","2020-04-24",78,0.848,0.768,-5.386,0.0373,0.0412,0.195,118.961,176767,0.777,"F#/Gb"
0,"21","5,151,406","Polo G",4849204,"['chicago rap']","2020-05-15",80,0.783,0.479,-10.646,0.541,0.149,0.101,176.027,163798,0.533,"G"
0,"BXL ZOO","5,101,640","Damso, Hamza",3071170,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap conscient']","2021-04-28",62,0.745,0.656,-6.829,0.203,0.0604,0.11,137.997,201333,0.405,"B"
0,"DEUX TOILES DE MER","5,094,137","Damso",3071170,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap conscient']","2021-04-28",62,0.521,0.39,-9.726,0.128,0.582,0.112,104.106,315640,0.157,"G#/Ab"
1,"exile (feat. Bon Iver)","4,924,533","Taylor Swift",42227614,"['pop', 'post-teen pop']","2020-07-24",77,0.298,0.38,-8.426,0.0287,0.778,0.11,75.602,285634,0.152,"F#/Gb"
1,"Righteous","4,819,362","Juice WRLD",19102888,"['chicago rap', 'melodic rap']","2020-07-10",78,0.706,0.625,-7.426,0.0314,0.0417,0.129,142.948,242181,0.225,"C"
1,"Conversations","4,805,366","Juice WRLD",19102888,"['chicago rap', 'melodic rap']","2020-07-10",75,0.747,0.622,-5.825,0.0838,0.176,0.151,159.93,181661,0.57,"B"
0,"Dolly (with Lil Uzi Vert)","4,800,543","Lil Tecca",4022792,"['melodic rap', 'rap', 'trap']","2020-09-18",63,0.664,0.586,-7.813,0.238,0.212,0.216,88.502,179813,0.589,"G"
0,"Chicago Freestyle (feat. Giveon)","4,799,038","Drake",56327031,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']","2020-05-01",80,0.735,0.449,-7.507,0.347,0.629,0.113,122.947,220488,0.0397,"A#/Bb"
1,"GOOBA","4,690,955","6ix9ine",6514102,"['emo rap', 'rap']","2020-05-08",70,0.611,0.688,-5.688,0.341,0.0264,0.251,178.462,132303,0.393,"C#/Db"
1,"Physical","4,599,807","Dua Lipa",27167675,"['dance pop', 'pop', 'uk pop']","2020-03-27",77,0.647,0.844,-3.756,0.0457,0.0137,0.102,146.967,193829,0.746,"C"
0,"Hot Stuff","4,569,978","Kygo, Donna Summer",7593792,"['edm', 'pop', 'pop dance', 'tropical house']","2020-09-18",71,0.681,0.773,-5.749,0.148,0.019,0.11,119.961,199008,0.429,"F"
